City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
277,bizerte,37.2744,9.8739,23.0,73,20,1.54,TN,1697492065
278,podgorenskiy,50.405,39.6429,4.82,88,100,10.46,RU,1697492066
279,urzhar,47.093,81.6294,6.14,53,28,2.65,KZ,1697492057
280,barinas,8.6226,-70.2075,28.31,66,94,1.12,VE,1697492066
281,petropavlovsk-kamchatsky,53.0452,158.6483,7.33,88,75,7.0,RU,1697491855
282,sinabang,2.4803,96.3801,25.92,83,100,5.05,ID,1697492067
283,zaozersk,69.4005,32.4476,1.76,74,99,7.24,RU,1697492068
284,toliara,-23.35,43.6667,23.65,70,100,6.21,MG,1697491289
285,mil'kovo,55.6078,37.7956,5.86,94,100,5.23,RU,1697492068
286,praia da vitoria,38.7333,-27.0667,20.42,83,75,6.51,PT,1697492005
287,vicuna,-30.0319,-70.7081,29.32,20,11,2.57,CL,1697492069
288,senanga,-16.1167,23.2667,26.69,41,94,1.11,ZM,1697491620
289,okhotsk,59.3833,143.3,-5.49,70,48,9.63,RU,1697492070
290,motygino,58.1831,94.7592,2.1,86,100,2.68,RU,1697492070
291,bandrele,-12.9067,45.1914,25.86,83,40,2.57,YT,1697492071
292,tura,25.5198,90.2201,19.74,90,0,1.64,IN,1697491956
293,shubarshi,48.5872,57.1869,8.3,68,0,4.22,KZ,1697492072
294,zaigrayevo,51.8336,108.2703,3.09,81,99,5.52,RU,1697492072
295,akureyri,65.6835,-18.0878,1.96,93,75,2.06,IS,1697492072
296,posto fiscal rolim de moura,-13.0833,-62.2667,27.01,67,44,1.19,BR,1697492073
297,itaituba,-4.2761,-55.9836,35.09,49,20,1.1,BR,1697492073
298,nampula,-15.1165,39.2666,23.97,83,0,6.69,MZ,1697492074
299,tuensang,26.2833,94.8333,16.38,91,1,1.31,IN,1697492074
300,naze,28.3667,129.4833,18.51,62,0,3.83,JP,1697491621
301,tommot,58.9564,126.2925,-7.13,78,99,1.2,RU,1697491839
302,oriximina,-1.7656,-55.8661,32.01,43,64,1.82,BR,1697492075
303,carroll,39.5501,-77.0164,14.39,69,99,2.24,US,1697492076
304,artondale,47.2995,-122.6207,18.51,93,100,4.63,US,1697491879
305,sai buri,6.7013,101.6168,25.11,90,100,1.26,TH,1697492077
